,adjacent_sheep,unique_id,initial_energy,resulting_energy,reproduced,step_no,age,eat
0,0,71,162.88000000000002,145.84000000000003,false,3,3,false
0,1,74,182.88000000000002,208.34000000000003,false,3,3,true
0,0,78,214.88000000000002,197.84000000000003,false,3,3,false
0,1,80,210.88000000000002,193.84000000000003,false,3,3,false
0,0,81,177.88000000000002,160.84000000000003,false,3,3,false
0,0,82,221.88000000000002,204.84000000000003,false,3,3,false
0,0,83,180.88000000000002,163.84000000000003,false,3,3,false
0,0,77,209.88000000000002,192.84000000000003,false,3,3,false
0,0,59,196.88000000000002,179.84000000000003,false,3,3,false
0,0,79,207.88000000000002,190.84000000000003,true,3,3,false
0,0,84,150.88000000000002,133.84000000000003,false,3,3,false
0,0,73,191.88000000000002,174.84000000000003,false,3,3,false
0,0,69,230.88,213.84,false,3,3,false
0,0,88,166.92000000000002,149.88000000000002,false,3,2,false
0,0,112,201,183.96,false,3,0,false
0,0,75,159.88000000000002,142.84000000000003,false,3,3,false
0,0,66,165.88000000000002,148.84000000000003,false,3,3,false
0,0,62,182.84000000000003,165.80000000000004,false,4,4,false
0,1,60,182.84000000000003,165.80000000000004,false,4,4,false
0,0,55,156.84000000000003,139.80000000000004,false,4,4,false
0,0,64,193.84000000000003,176.80000000000004,false,4,4,false
0,0,65,144.84000000000003,127.80000000000004,false,4,4,false
0,0,56,151.84000000000003,134.80000000000004,false,4,4,false
0,0,67,172.84000000000003,155.80000000000004,false,4,4,false
0,0,63,169.84000000000003,152.80000000000004,false,4,4,false
0,0,61,214.84,197.8,false,4,4,false
0,0,66,148.84000000000003,131.80000000000004,false,4,4,false
0,1,57,199.34000000000003,224.80000000000004,false,4,4,true
0,0,59,179.84000000000003,162.80000000000004,false,4,4,false
0,0,72,182.84000000000003,165.80000000000004,false,4,4,false
0,0,74,208.34000000000003,191.30000000000004,false,4,4,false
0,0,68,135.84000000000003,118.80000000000004,false,4,4,false
0,0,58,182.84000000000003,165.80000000000004,false,4,4,false
0,0,70,144.84000000000003,127.80000000000004,false,4,4,false
0,0,71,145.84000000000003,128.80000000000004,false,4,4,false
0,0,69,213.84,196.8,false,4,4,false
0,0,73,174.84000000000003,157.80000000000004,false,4,4,false
0,0,79,190.84000000000003,173.80000000000004,false,4,4,false
0,0,75,142.84000000000003,125.80000000000004,false,4,4,false
0,0,82,204.84000000000003,187.80000000000004,false,4,4,false
0,0,78,197.84000000000003,180.80000000000004,false,4,4,false
0,0,83,163.84000000000003,146.80000000000004,false,4,4,false
